subject,title,level,credit_amount,description,last_taught
CIV ENGR,SPECIAL TOPICS IN HYDRAULICS AND FLUID MECHANICS,618,1-3,Topics vary,F23
CIV ENGR,SPECIAL TOPICS IN HYDROLOGY,619,1-3,Topics vary,F24
CIV ENGR,BIOLOGICAL TREATMENT PROCESS MODELING,621,1,"Modeling for wastewater treatment plant evaluation and design using a commercial modeling program. Focus on biological treatment processes and the kinetics of biological growth and substrate degradation. Set up and calibrate model, configure and size plant processes, and explore the impact of configuration and kinetic parameters on treatment efficiency. Evaluate impacts and tradeoffs for advanced treatment scenarios with regards to chemical use, energy needs, sludge production, and plant footpri",U25
CIV ENGR,SPECIAL TOPICS IN ENVIRONMENTAL ENGINEERING,629,1-3,Topics vary,F23
CIV ENGR/M&ENVTOX/SOIL SCI,"TOXICANTS IN THE ENVIRONMENT: SOURCES, DISTRIBUTION, FATE, & EFFECTS",631,3,"Nature, sources, distribution, and fate of contaminants in air, water, soil, and food and potential for harmful exposure",S25
CIV ENGR/G L E,REMEDIATION GEOTECHNICS,635,3,"Geotechnical practice for remediation of sites containing contaminated soil and groundwater is discussed. Topics include non-invasive and invasive subsurface exploration techniques, methods to monitor for the presence of contaminants in the saturated and unsaturated zones, and geotechnically-oriented remedial action technologies",S23
CIV ENGR,SPECIAL TOPICS IN GEOTECHNICAL ENGINEERING,639,1-4,Topics vary,U24
CIV ENGR,PRESTRESSED CONCRETE,643,3,"Analysis and design of prestressed concrete members, including working stress and ultimate strength analysis and design for flexure; shear design; prestress losses, deflections, and composite beams. Knowledge of Concrete Structures [such as CIV ENGR 447] required",
CIV ENGR,CONCRETE STRUCTURES III,647,3,"Inelastic behavior and modeling of reinforced concrete members, with emphasis on response to earthquake-type loading. Knowledge of concrete structures [such as CIV ENGR 447] required",
CIV ENGR,SPECIAL TOPICS IN STRUCTURAL ENGINEERING,649,1-3,Topics vary,S25
CIV ENGR,SPECIAL TOPICS IN CONSTRUCTION ENGINEERING AND MANAGEMENT,669,1-4,Topics vary,F24
CIV ENGR,ADVANCED TRAFFIC MODELING AND COMPUTER SIMULATION,678,3,"Theoretical and practical perspectives of traffic flow modeling with a focus on micro-simulation. Simulation software, such as CORSIM, VISSIM, and PARAMICS. Develop and calibrate a set of base models of existing conditions, extend the models to include design alternatives (generally using traffic demands projected for future years), and then generate conclusions on the basis of the modeling results",S25
CIV ENGR,SPECIAL TOPICS IN TRANSPORTATION AND CITY PLANNING,679,3,Topics vary,F24
CIV ENGR/PUB AFFR,MANAGEMENT OF CIVIL INFRASTRUCTURE SYSTEMS,694,3,"Comprehensive systems approach to civil infrastructure and asset management with emphasis on transportation facilities. Social, political, economic factors that influence transportation planning, design, construction, maintenance and operation. Needs assessment, information management, performance measurement, life cycle cost and benefits analysis, prioritization and optimization, budgeting and finance",S19
CIV ENGR,INDEPENDENT STUDY,699,1-9,Under faculty supervision,U25
CIV ENGR/ATM OCN,THE CHEMISTRY OF AIR POLLUTION,701,2,"Covers background and modern research methods for the application of chemical analysis tools to understanding of the origin, composition, and the chemical transformations of pollutants that occur in the atmosphere. Emphasis will be directed at the pollutants impacting human health, climate change, and ecosystem degradation. Approximately half of the course materials will be taken from the scientific literature and will provide the opportunity to advance skills in the critical reading of journal ",F24
CIV ENGR,GRADUATE COOPERATIVE EDUCATION PROGRAM,702,1-2,Work experience that combines classroom theory with practical knowledge of operations to provide a background on which to develop and enhance a professional career. The work experience is tailored for MS students from within the U.S. as well as eligible international students,U25
CIV ENGR,ENVIRONMENTAL GEOCHEMISTRY,703,3,"A quantitative treatment of chemical and biological processes controlling the speciation and partitioning of inorganic compounds in natural waters. Particular attention will be paid to heterogeneous reaction mechanisms, and kinetics controlling inorganic compounds in aqueous environments. Discuss in-situ techniques for measurement of environmental reactions. For those interested in environmental chemistry, chemistry, limnology, geology, environmental microbiology, soil science, and environmental",S23
CIV ENGR,ENVIRONMENTAL CHEMICAL KINETICS,704,3,"Fundamental molecular processes that govern the fate and transformation of organic contaminants in natural environmental systems and engineered treatment processes. Emphasizes the kinetics describing these processes and focuses on transformation mechanisms of organic contaminants in aquatic systems. Specific topics include partitioning between air, water, and solids; chemical kinetics; substitution, hydrolysis, and redox reactions; oxidation reactions encountered in ozone and chlorine-based disi",S22
CIV ENGR/ENVIR ST/URB R PL,WATER RESOURCES MANAGEMENT PRACTICUM PLANNING SEMINAR I,717,1,The first of two seminars for planning the activities of the practicum,F24
CIV ENGR/ENVIR ST/URB R PL,WATER RESOURCES MANAGEMENT PRACTICUM PLANNING SEMINAR II,718,2,"The second of two seminars for planning the field work, analysis, and reporting of the practicum",S25
CIV ENGR/ENVIR ST/URB R PL,WATER RESOURCES MANAGEMENT SUMMER PRACTICUM,719,4,"Interdisciplinary team of students and staff working with agency personnel, citizen groups, and/or private sector representatives on the analysis of a contemporary, problem-oriented water resource issue. Physical, biological, economic and social aspects of the issue analyzed. Comprehensive written report results, practicum's findings and management recommendations",U25
CIV ENGR,BIOLOGICAL PRINCIPLES OF ENVIRONMENTAL ENGINEERING,721,3,"Biological principles important to diagnosing and controlling pollution through environmental engineering applications such as fate and transport of contaminants in the environment, eutrophication, water treatment for human consumption, biological waste treatment for pollution control and bioenergy generation",S24
CIV ENGR,CHEMICAL PRINCIPLES OF ENVIRONMENTAL ENGINEERING,722,3,"Principles of general, physical, equilibrium, colloid and biochemistry applied to environmental engineering processes such as evaluating environmental quality and treating water, air and soil to meet environmental standards",F23
CIV ENGR,ENERGY PRINCIPLES OF ENVIRONMENTAL ENGINEERING,723,3,"Principles of energy applied to environmental engineering such as energy resources, sustainability concerns, work and power, thermodynamics, system and process efficiencies, energy production from waste, heat transfer, and heating and cooling of systems",F24
CIV ENGR,ENVIRONMENTAL SUSTAINABILITY TOOLS,729,3,"Environmental impact must be quantified systematically and rigorously in order to inform decision making, process improvement, and policy. Life cycle assessment will be utilized in a project-based framework to evaluate the environmental impacts of products and process across multiple environmental impact categories",U25
CIV ENGR/G L E,ENGINEERING PROPERTIES OF SOILS,730,3,"Determination and interpretation of soil properties for engineering purposes; physio-chemical properties of soil-water systems, permeability and capillarity, compression characteristics of soils, measurement of soil properties in the triaxial test, properties of frozen soils and permafrost",S22
CIV ENGR/G L E,UNSATURATED SOIL GEOENGINEERING,732,3,"Engineering principles of unsaturated soils as they apply to geotechnical and geoenvironmental systems. Effect of soil water suction and stress on hydraulic conductivity, shear strength, and compressibility of soils in the context of geoengineering problems of flow and stability. Knowledge of Soil Mechanics [such as CIV ENGR/G L E 330] is required",S25
CIV ENGR/G L E,PHYSICOCHEMICAL BASIS OF SOIL BEHAVIOR,733,3,"Applications of physiochemical, mineralogical and environmental considerations to the engineering behavior of soils. Soil composition, formation, fabric, pore fluid chemistry and interaction of phases. The particulate nature of soils and the fabric-engineering property (volume change, strength, deformation and conduction) relationships. Knowledge of Soil Mechanics [such as CIV ENGR/G L E 330] is required",F23
CIV ENGR,STRUCTURAL DYNAMICS AND EARTHQUAKE ENGINEERING,744,4,"Dynamic analysis and behavior of structures; basic principles and application of engineering seismology; determination of earthquakeinduced loads for earthquake-resistant design; and analysis and design of reinforced concrete and steel buildings subjected to ground motion. Knowledge of analysis and design of reinforced concrete and structural steel buildings [such as CIV ENGR 440, 445, and 447] required",S24
CIV ENGR,SPECIAL TOPICS IN STRUCTURAL ENGINEERING,749,1-4,Advanced topics of special interest to graduate students in structural engineering,S22
CIV ENGR,RESEARCH METHODS IN CONSTRUCTION ENGINEERING MANAGEMENT,760,1,"Present research in Construction Engineering Management, discuss ideas and results. Receive feedback on research and presentation style",F24
CIV ENGR/E M A/M E,TURBULENT HEAT AND MOMENTUM TRANSFER,775,3,"Stochastic methods in turbulent heat and momentum transfer; fully developed turbulence; numerical methods including model applications to boundary layers, reacting flows, mass transfer, and unsteady flows; linear and non-linear stability and transition; emphasis on applications of interest to Mechanical, Aerospace, and Environmental Engineers. Knowledge of fluid mechanics [such as M E 363 or CBE 320] strongly encouraged",S25
CIV ENGR,MASTER'S RESEARCH OR THESIS,790,1-9,Under faculty supervision,U25
CIV ENGR,HYDRAULICS AND APPLIED FLUID MECHANICS FOR ENVIRONMENTAL ENGINEERS,820,3,"Principles of hydraulics and fluid mechanics applied to environmental engineering systems that convey, control, and measure the flow of liquids, solid-liquid slurries, and gases",U25
CIV ENGR,ENVIRONMENTAL ENGINEERING: BIOLOGICAL TREATMENT PROCESSES,821,3-4,Advanced theory and applications of biological systems for the treatment of wastes; lab techniques to assess treatability and to provide design parameters. Introductory knowledge of Environmental Engineering [such as CIV ENGR 320] is required,S25
CIV ENGR,ENVIRONMENTAL ENGINEERING: PHYSICAL/ CHEMICAL TREATMENT PROCESS,822,3-4,Advanced theory and applications of chemical and physical-chemical processes for the treatment of water and wastewater; lab techniques to assess design requirements and treatability. Introductory knowledge of Environmental Engineering [such as CIV ENGR 320] is required,F24
CIV ENGR,ENVIRONMENTAL ENGINEERING DESIGN PROJECT,823,3,"Engineering design project applied to environmental engineering solutions involving environmental chemistry, environmental quality, physicalchemical treatment processes, biological treatment processes, solid and hazardous waste engineering, energy, resource recovery, economic analysis, hydrology, and/or hydraulics and applied fluid mechanics",S24
CIV ENGR,PRE-DISSERTATOR'S RESEARCH,890,1-9,Under faculty supervision,U25
CIV ENGR,GRADUATE SEMINAR - ENVIRONMENTAL CHEMISTRY & TECHNOLOGY,909,1,Current research in environmental chemistry and technology,S25
CIV ENGR/ATM OCN/BOTANY/ENVIR ST/GEOSCI/ZOOLOGY,LIMNOLOGY AND MARINE SCIENCE SEMINAR,911,1,Sections in various fields of zoological research,S25
CIV ENGR,SEMINAR-HYDRAULIC ENGINEERING AND FLUID MECHANICS,919,1,Current research and review of literature in theoretical and applied fluid mechanics and hydraulic engineering,S25
CIV ENGR,SEMINAR-ENVIRONMENTAL ENGINEERING,929,1,"Current research and literature on water, wastewater, water pollution control, solid wastes engineering and management",S25
CIV ENGR,GEOTECHNICAL ENGINEERING SEMINAR,939,1,"Geotechnical analysis, design, and construction",S25
CIV ENGR,SEMINAR-STRUCTURAL ENGINEERING,949,1,"Structural analysis, design, and construction",S23
CIV ENGR,THESIS,990,1-12,Under faculty supervision,U25
CIV ENGR,ADVANCED INDEPENDENT STUDY,999,1-9,Under faculty supervision,U25
CSCS,COMMUNITY AND SOCIAL CHANGE,125,3,"Examine contemporary issues with an emphasis on the role that individuals and communities play in achieving positive social change. Develop the mindsets and communication skills necessary to work in diverse community contexts. Specific themes may shift based on current events, but often include education reform, racial justice, health equity, alternative economies, food systems, and sustainability",S25
CSCS,COMMUNITY NEWSWRITING,130,3,"Newswriting of interest to individuals, families, and communities",U25
CSCS,SOCIAL MEDIA FOR SOCIAL JUSTICE,155,3,"Social media is a strategic tool to help organizations, advocacy groups, and individuals advance social justice initiatives to create a more equitable future. Analyze historical campaigns to evaluate social media presence, audience focus, communication goals, content resonance, storytelling techniques, and audience engagement. Explore ethical topics tied to social media as a communications and organizing medium including: first amendment rights and the emerging regulation of social media platfor",
CSCS,CAREER PATHWAYS IN COMMUNITY & ORGANIZATIONAL DEVELOPMENT,254,1,"Explores career pathways in community engagement, organizational development, and public service within Human Ecology professions. Features insights from professionals in social change, government, nonprofits, and grassroots movements. Examines roles, responsibilities, and challenges in community development. Covers options and guidance on advanced professional credentials and/or academic preparation",S25
CSCS,INTRODUCTION TO SOCIAL INNOVATION,255,3,"Introduction to the process of developing effective solutions to complex problems as a means of systemic social change. Provides a broad overview of the social innovation ecosystem, including history, context, case studies, and critical perspectives",
CSCS,INDEPENDENT STUDY,299,1-3,Directed study projects as arranged with a faculty member,S24
CSCS,NONPROFIT SECTOR: OVERVIEW AND FOUNDATIONS,300,3,Learn the concepts and tools to analyze the broad environment in which nonprofits operate and assess the impact of this environment at the community and individual organizational level,F24
CSCS/AMER IND,"AMERICAN INDIAN COMMUNITIES: SOVEREIGNTY, STRUGGLES, AND SUCCESSES",330,3,"Learn about contemporary Native communities, both domestically and globally, through a carefully curated selection of readings, podcasts, and videos from Indigenous scholars, community members, knowledge holders, and activists. Offers a broad historical overview of Native American communities in the United States that illustrates the historical trajectory from early colonization and dispossession through selfdetermination and the recognition of tribal sovereignty in action by local, state, and f",F24
CSCS,COMMUNICATING WITH KEY AUDIENCES,335,3,"Comprehensive communication strategies for individuals, families, and communities",F24
CSCS,EVALUATION AND PLANNING FOR COMMUNITY AND NONPROFIT ORGANIZATIONS,345,3,"An applied introduction to planning and evaluation for nonprofit and community-based organizations. Develop skills that can be utilized in both existing and prospective organization-level strategic planning, individual program-level planning, as well as multi-organization planning contexts. Learn how to think of evaluation as a practice, a way of thinking, and as a process integral to and interdependent with strategic and program planning",S25
CSCS,SPECIAL TOPICS,375,1-4,Specialized subject matter of current interest,S25
CSCS,PHILANTHROPY AND CIVIC ENGAGEMENT,400,3,"Explores philanthropy and civic engagement through giving time, money and effort to a public purpose. Learn the philanthropic process including creating a giving plan, as well as exploring strategic and creative ways to give that promote civil society and engagement. Develop plans for assessment and evaluation of philanthropic giving",S25
CSCS,HUMAN TRAFFICKING: GLOBAL AND LOCAL PERSPECTIVES,410,3,"An interdisciplinary approach to understand human trafficking as a complex social phenomenon. The topic of human trafficking is analyzed through readings and a robust set of case studies, as part of a spectrum of interrelated violence, exploitation and systemic inequities influenced by various social determinants rooted in gender, power, class, sex, race, opportunity, education, culture, politics, access, and sexual orientation among other factors. Advocacy training will focus on commercial sexu",F24
CSCS/CURRIC,PROGRAM PLANNING IN FAMILY AND CONSUMER EDUCATION,428,3,"Theory and processes of program planning for formal and informal educational settings; relation of vocational education to secondary, adult, and continuing education programs",F18
CSCS,FUNDRAISING & DEVELOPMENT FOR NONPROFIT ORGANIZATIONS,430,3,"Explores the philosophy of fundraising and development, its bearing on the nonprofit sector, as well as the practical strategies employed by nonprofits in their fundraising efforts to secure time, talent and treasure for sustaining their work. Nonprofit sector organizations (NPO) seek to thrive in their efforts to have a positive impact in bringing social change - to individuals, families, and communities and, indeed, the world. To sustain these noble efforts, these dynamic organizations must at",S25
CSCS,ENTREPRENEURIALISM AND SOCIETY,455,3,"Explores entrepreneurialism in nonprofits, business, government, and arts and humanities contexts. With a broad approach of ideas, readings, and lectures, students will understand the ever-changing role that entrepreneurs play and contribute to society",S25
CSCS,CIVIL SOCIETY AND COMMUNITY LEADERSHIP,460,3,"Provides opportunities for learning about some of the ""nuts and bolts"" of nonprofit organizations. Through studying high- impact organizations, interacting with local experts, and through an independent investigation of the work of a local nonprofit organization, develop uniquely tailored understandings and skills for nonprofit leadership",F21
CSCS,THE HUMAN RIGHTS OF CHILDREN AND YOUTH: GLOBAL AND LOCAL PERSPECTIVES,470,3,"Human rights precepts, policies and frameworks for change in governments and civil society. Convention of the Rights of the Child (CRC), the principal human rights convention related to children, and other human rights policies related to children and young people. Critically analyze the CRC and access information from the Reports of the Committee on the Rights of the Child. Legal and policy frameworks which address the needs of children in adversity Internationally. Review and develop case stud",F23
CSCS,GLOBAL HEALTH AND COMMUNITIES: FROM RESEARCH TO PRAXIS,500,3,"Explores global health and well-being from a community perspective and through the holistic lens of human ecology. Respectful communityengagement, evidence-based practice, and making the local to global connection are key themes. Almost everything we do has an impact on our own health and that of our communities and the world. Prepares students for community-oriented global health engagement. Consider the nature of community and different types of communities, both locally and globally. Reflect ",F24
CSCS,SPECIAL TOPICS,501,1-3,Specialized subject matter of current interest,F23
CSCS,DESIGN & WRITE GRANT PROPOSALS,510,3,"Theoretical and practical background in designing and writing grant proposals. Develop skills to locate funding opportunities, summarize program elements, create budgets, and write competitively. Emphasizes writing skills, budget creation, building collaborative partnerships, understanding funder interests and priorities. Analyzing requests for proposals, writing needs statements, methods, budgets, peer review",U25
CSCS,PURPOSE-DRIVEN ORGANIZATIONS,530,3,"Purpose-driven organizations including community and grassroots efforts, nonprofits, nongovernmental organizations, social enterprises, cooperatives, and land trusts. Examines roles, critiques, characteristics, and infrastructural components. Includes analysis of historical, current, and trending approaches to purpose-driven work through textual, communityengaged, or case study learning",F24
CSCS,COMMUNITY AND SOCIAL INNOVATION LAB,555,3,Develop and implement a social change project in collaboration with a community partner. Explore diverse approaches to changemaking and address systemic issues through project-based work,
CSCS,COMMUNITY BASED RESEARCH AND EVALUATION,570,3,"Theoretical, critical, and analytical understanding and application of the conscious and systematic use of data, inquiry and analysis for community, organization and program diagnosis, intervention and evaluation in various community-based and nonprofit organizations",S25
CSCS,COMMUNITY LEADERSHIP PORTFOLIO CAPSTONE,600,3,"Designed to demonstrate accumulated training and experience in community and nonprofit leadership. Explores how to better conceptualize, engage with, and reflect on social justice and community issues from a human ecology perspective, while also learning from prior practice and experience working with nonprofit, community- and missionbased organizations",S25
CSCS,INTERNSHIP,601,1-6,A supervised internship providing hands-on training in a professional experience in community and nonprofit leadership related fields,U25
CSCS,SENIOR HONORS THESIS,680,2-4,Individual study in honors as arranged with a faculty member,U14
CSCS,SENIOR THESIS,690,2,Individual study as arranged with a faculty member,
CSCS,INDEPENDENT STUDY,699,1-4,Directed study projects as arranged with a faculty member,S25
CSCS,NONPROFIT BOARD LEADERSHIP DEVELOPMENT I,742,2,Part one of a two part course sequence. Develop a commitment to community and civic engagement through volunteer leadership of nonprofit organizations in Madison/Dane County. Serve on the boards of nonprofits (in a non-voting capacity) and complete an independent governance project,F22
CSCS,NONPROFIT BOARD LEADERSHIP DEVELOPMENT II,743,1,Part two of a two part course sequence. Continued development of a commitment to community and civic engagement through volunteer leadership of nonprofit organizations in Madison/Dane County. Continued service on the boards of nonprofits (in a non-voting capacity) and completion of an independent governance project,S23
CSCS,BUILDING CIVIL SOCIETY,775,3,"Consistent with the values of civil society, emphasizes engagement, debate, collegiality, personal discernment, and expression. Reflect on how developing academics and practitioners can use frameworks and practices of civil society to further professional goals and civic contributions",S24
CSCS,CIVIC DEVELOPMENT ACROSS THE LIFESPAN,785,3,"Focus on ways in which people develop identities and commitments as members of cultural and community groups and how they exercise rights and assume responsibilities in those contexts. An ecological approach to civic development - considering characteristics of persons (age, race, ethnicity, gender, sexual orientation, culture) and the opportunities, structural impediments, and challenges of social and institutional contexts for different groups. Major themes are people's collective agency in wo",S22
CSCS,COMMUNITY POWER AND COLLECTIVE ACTION,795,3,"Enhance your collective ability to identify, describe, and analyze power and empowerment within communities and social, economic, and political systems. Enables us to more effectively and intentionally situate our praxis with regard to power and collective action. Centers on inquiries into the roles that power plays in collective action for community change and improvement, as well as the roles that it often plays in hindering such efforts and maintaining the status quo or defending elite intere",S25
CSCS,SPECIAL TOPICS IN CIVIL SOCIETY AND COMMUNITY RESEARCH,801,1-3,Specialized subject matter of current interest,F23
CSCS,COMMUNITY-BASED RESEARCH: THEORY AND PRACTICE,811,3,"An interdisciplinary, introduction to community-based research. Designed to be a co-exploration of different community-based, communityengaged, and action-oriented research approaches and methods as utilized in a variety of disciplines. An opportunity to apply skills gained through participation in community-based research (CBR) projects developed collaboratively with a local community partner",S25
CSCS,MIXED-METHODS IN COMMUNITY-BASED RESEARCH,812,3,"Applied, methodologically focused seminar that aims to develop capacities for action-oriented mixed-methods research design, as well as basic understanding of an array of methodological tools. Readings, discussions, assignments, and class projects are all oriented toward developing this capacity and understanding",F24
CSCS,TRANSFORMATIVE EVALUATION IN PRACTICE,813,3,"Develop, conduct, and lead a participatory program evaluation using a transformative lens. Emphasizes collaborative strategies that build evaluation capacity and improve the use of evaluation findings. Build knowledge and skills in evaluation and apply them through projects with institutions (e.g. community organizations, voluntary associations or foundations) involved in creating a civil and just society. Topics include but are not limited to professional standards and ethical practice, underst",S25
CSCS,RESEARCH AND THESIS,990,1-12,Independent research and writing under the supervision of a faculty member,U25
CSCS,INDEPENDENT STUDY,999,1-3,Directed study projects as arranged with a faculty member,S25
CLASSICS,LEGACY OF GREECE AND ROME IN MODERN CULTURE,100,3,Explores the legacy of ancient Greek and Roman Civilization in modern culture. Reflect on the roots of western civilization and understand and interpret reflections of antiquity in today's society,S24
CLASSICS,TOPICS IN CLASSICAL AND ANCIENT NEAR EASTERN STUDIES,101,3,"An introduction to the literature, history, and culture of Greece, Rome, and the Ancient Near East. Topics vary",F24
CLASSICS,TOPICS IN CLASSICAL AND ANCIENT NEAR EASTERN LITERATURE,102,3,"General principles of reading ancient literature in translation. Topics include: genres and forms of ancient literature, oral and written cultures, social context of ancient literature, ancient and modern practices of linguistic translation, interactions between literary texts and other media, ancient literature and modern categories",U25
CLASSICS,"NATURE, RACE, AND HUMAN DIFFERENCE",103,3,"What do we mean when we talk about nature? What does it mean to call something natural? Are humans part of nature, and is human difference a product of nature or culture? An introduction to the concepts of nature, culture, and race in both the ancient Mediterranean and contemporary US society with an emphasis on how ancient accounts of human difference have shaped-and continue to shape-modern discourse. Approaching the topics of race, nature, and the environment using critical resources afforded",F24
CLASSICS/HISTORY,THE ANCIENT MEDITERRANEAN,110,4,"An examination of the evolution of the human community in the Mediterranean Basin, from the beginning of the earliest civilizations in the Near East (3,000 B.C.E.) until the collapse of the Roman Empire in the West (500 C.E.)",F23
CLASSICS,CLASSICS AND POP CULTURE,111,3,"Explores influence of Greco-Roman literature on contemporary popular culture putting classical texts, myths, and philosophical literature alongside modern media such as films, shows, books, pop songs, and music videos, to understand the past and critically engage with the present",
CLASSICS,"FAKES, FORGERIES, AND THE ETHICAL PROBLEMS IN CLASSICAL ANTIQUITIES",120,3,"Covers the crisis of fakes and forgeries in the world of classical antiquities, with emphasis on ancient Greek and Roman art from the period 1200 BCE to 400 CE, but also including comparative cases in the world of modern art. Introduces the basic vocabulary of fakes and, by means of readings and discussions, generates knowledge around the impact that fakes and forgeries have on perceptions of past civilizations and truths of the present day. Learn how to distinguish originals from counterfeits, ",
CLASSICS,ANCIENT GREEK AND ROMAN MONSTERS,150,3,"Ancient monsters were forces of chaos that threatened the natural order of the universe: they had to be contained, banished to the edges of the world or destroyed. But the Greeks and Romans also believed them to be magical beings that held the promise of special knowledge - of the past, of dangers to be faced, of musical arts - or which, like the Sphinx, possessed an enigmatic intelligence capable of fooling all but the most cunning of mortals. Investigate these contrasting aspects of ancient mo",F24
CLASSICS,GREEK AND LATIN ORIGINS OF MEDICAL TERMS,205,3,"Discover the elements of Latin and Greek that are most commonly used in modern medicine. Learn a great deal about the cultural influences that lie behind the linguistic developments, and explore some of the striking contrasts between ancient and modern medicine",U25
CLASSICS,CLASSICAL INFLUENCES ON WESTERN ART AND SCIENCE,206,3,"Explores the legacy of ancient Greek, Roman, and Near Eastern art and science in later historical periods of Western culture. Identify, analyze and critique the roots of western culture and to understand and interpret how classical cultures influence global arts and sciences past and present",F23
CLASSICS/JEWISH/LITTRANS/RELIG ST,INTRODUCTION TO BIBLICAL LITERATURE (IN ENGLISH),227,4,"Introduction to the text, development, history, and social context of the Hebrew Bible/Old Testament. Covers the Torah (Pentateuch), Neviim (Former and Latter Prophets), and Ketuvim (Writings), and provides a brief introduction to early Jewish literature (Pseudepigrapha/Apocrypha). Discusses various methods of analysis and theories of composition. Addresses major theological claims made of the text by Jewish and Christian communities. Explores contextualized interpretations in the ancient and mo",S25
CLASSICS/JEWISH,INTRODUCTION TO BIBLICAL ARCHAEOLOGY,241,4,An overview of archaeology and its relationship to understanding the biblical world,F18
CLASSICS,CLASSICAL MYTHOLOGY,270,3,Classical myths and their influence on later literature and art,U25
CLASSICS/ART HIST,THE ART AND ARCHAEOLOGY OF ANCIENT GREECE,300,3-4,Explores the art and archaeology of ancient Greece from the Bronze Age through the Hellenistic period,U25
CLASSICS/ART HIST,THE ART AND ARCHAEOLOGY OF ANCIENT ROME,304,3-4,"Explores the art and archaeology of ancient Italy, the Roman Republic, and the Roman Empire from the Iron Age to Late Antiquity",S25
CLASSICS,SEX AND VIOLENCE IN THE ANCIENT NEAR EAST,308,3,"Examines the intersections of sex and violence in biblical and related literature. Read through a variety of lenses, including feminist interpretation, queer theory, and post-colonial theory. Consider how, why, and for whom texts depicting gender violence worked in the ancient world. Explore the reception of such texts in art, fiction, and film and their impact on modern society",F24
CLASSICS,AFRICANA APPROACHES TO BIBLICAL INTERPRETATION,315,3,"An exploration of African and Black Diaspora interpretations of biblical literature (Hebrew and Greek Testaments). Includes a survey of SubSaharan Africans' roles in the Bible; studies the translation of the Bible in the 4th - 5th centuries CE in Axumite Ethiopia; follows the movement of biblical interpretation across the Middle Passage; explores the intellectual dimensions of Black Diaspora biblical interpretation in North America and the Caribbean. Discuss hermeneutics and reading strategies, ",S25
CLASSICS,THE GREEKS,320,3,Greek literature in translation with emphasis on its social background,U25
CLASSICS,"THE EGYPTIANS: HISTORY, SOCIETY, AND LITERATURE",321,3,"An introduction to the study of Ancient Egypt, analyzing its political clout through two millennia of history, its society and economy, its variegated religious systems, the art and literature it produced, and its reception in the modern period",F24
CLASSICS,THE ROMANS,322,3,Latin literature in translation with emphasis on its social background,U25
CLASSICS/JEWISH/RELIG ST,THE BIBLE AND FILM: LITERATURE AND MEDIA,323,3,"An introduction to the study of the Bible as literature and of biblical reception in the medium of film, from early Hollywood to the present day. Explores the way in which the Bible (including both Hebrew and Greek Testaments), one of the foundational literary corpora of American society, has been interpreted, reinterpreted, and misinterpreted through the medium of film over the past century. We will begin each segment of the course by reading portions of the biblical text that have experienced ",F23
BIB/JEWISH/LITTRANS/RELIG ST,PROPHETS OF THE BIBLE,332,4,"An introduction to the thought, literature, and history of the prophets of ancient Israel (in English)",S19
CLASSICS/JEWISH/RELIG ST,KING DAVID IN HISTORY AND TRADITION,335,3,"An exploration of the literary and historical aspects of the text of 1-2 Samuel + 1 Kings 1-2; the history and archaeology of Jerusalem during the tenth century B.C.E.; and the varieties of ways in which the figure of King David has been received in subsequent religious and secular literature, visual art, music, television, and cinema",F24
CLASSICS,CONSPIRACY IN THE ANCIENT AND MODERN WORLDS,340,3,"Interrogates the phenomenon and notion of ""conspiracy"" within the political, social, and religious spheres of the ancient Roman world. Explores the structure of the traditional Roman household, including the preeminence of the paterfamilias and the challenges that women, children, and/or slaves pose to his notional ""tyranny"". Considers a number of prominent religions that came into conflict with Roman authorities - especially the mystery cults surrounding Bacchus as well as early Christianity. A",F23
CLASSICS/GEN&WS,WOMEN AND GENDER IN THE CLASSICAL WORLD,351,3-4,"Constructions of gender and sexuality in the classical world through art, literature and archaeology",F24
CLASSICS/GEN&WS,SEX AND POWER IN GREECE AND ROME,361,3,"Sex as a source of domination and liberation in Ancient Greek and Roman literature and modern European and North American theory and practice, including questions of sexual orientation, gender identity, violence, and self-realization",S25
CLASSICS/HISTORY/POLI SCI,ATHENIAN DEMOCRACY,362,3,"Explores key issues in the ideology and practice of Athenian democracy. Examines democratic values, institutions, rhetoric, and sociology in order to provide the basic tools to understand democracy in its ancient context. Engages with a variety of source material (literary, archaeological, epigraphic) in order to develop multiple skills of interpretation. Some questions examined include: What are the key features of Athenian democracy, how did it change over time, and how did it differ from mode",S25
CLASSICS,TOPICS IN GREEK CULTURE,371,1-3,"Selected aspects of Greek culture (e.g., sports, women, the family, warfare), with emphasis on literary remains",F21
CLASSICS,TOPICS IN CLASSICAL CULTURE,373,1-3,"Selected aspects of Classical culture (e.g., sports, women, the family, warfare ), with emphasis on literary remains",S25
CLASSICS,"ANCIENT TEXTS, MODERN CONTEXTS",420,3,"Explores how classical antiquity has been adapted, translated, and reimagined in the modern world through a variety of media and critical approaches",F23
CLASSICS,TOPICS IN CLASSICAL ARCHAEOLOGY,430,3,"Explores topics in the archaeology of ancient Greece and Rome, such as the Seven Wonders of the Ancient World, the archaeology of Greek and Roman religion, or Late Antique Palaces",S24
